Sno,ratings,review
31,5,It looks so good in my hand !.......WAU?READ MORE
32,5,AwesomeREAD MORE
33,5,Best for regular usageREAD MORE
34,4,Very nice product☺️☺️we loved the phone very muchREAD MORE
35,5,"Great Experience Flipkart I am giving 10 of 10 Camera, Sound, Screen... Transportation Mi note 9 pro Max to Iphone 15 .READ MORE"
36,5,A perfect n balanced phone ❣️. Was thinking of switching to ios from last two years and yeah its worth buying the black beauty 🖤.READ MORE
37,5,Camera quality top notch 👍READ MORE
38,5,Nice 👌READ MORE
39,5,I was sceptical of online purchase but I was wrong I got what I ordered Best phone everREAD MORE
40,4,Nice productREAD MORE
41,5,"Just upgraded from iphone 12 to 15 and I totally loved this 15 series.Camera:- No doubt iphones camera are best of any other smartphone, primary camera is now 48mp which gives quite sharp images, 2x in portrait mode is definitely a game changer in base varient.Battery:- 3349 mAH is quite better as compared to older versions.Performance:- Apple improve performance by introducing A-16 bionic chip, no doubt performance is on top.Display:- In display we get dynamic island which gives phone mo...READ MORE"
42,5,Pic Quality AwesomeREAD MORE
43,5,Absolutely gorgeous 😻READ MORE
44,5,Camera is good but not too good like other camera phone.Performance is good but missed 90hz display.Battery is good enough for a day use.Sound is quite awesome like no other phonesRest phone is good to go for.READ MORE
45,5,Loved this product ❤️❤️READ MORE
46,5,The camera quality is just awesome ..just like DSLRREAD MORE
47,5,It's amazing nd also the delivery boy was very humble.READ MORE
48,5,Awesome...READ MORE
49,5,Best in class..! Superb camera and performance. Fine grip.READ MORE
50,5,awesome camera looks like Captured DSLR quality Sounds quality bestBattery backup is good not better and bestAbout performance i have no wordsREAD MORE
51,5,Really its the best and richest design 😍READ MORE
52,5,"Just ok like any other premium android phone. Sound is just fantastic and face unlock feature is more convenient than fingerprint scanner. Battery backup is more than android 5000 mah battery. This is my frist iPhone, migrated from android due to chipset heating problem in Google tensor chip and Samsung exonys processsor.READ MORE"
53,5,Switch from android to iPhone😍Just wow. Camera and battery backup is outstanding for daily useREAD MORE
54,4,Writing this review after extensive usage. Hope it helps interested buyers decide.1. Display:- 4/5 (Great display but limited to 60Hz in 2023-24)2. Camera:- 4/5 (Great cameras but no telephoto at this price segment but this time Apple really nailed it with the 15 series 24mp shots are very sharp and detailed)3. Performance:- 5/5 (One of the fastest SOC available right now)4. Battery:- 3/5 (Average battery life also charger not included in the box and still charges slowly with the 20w bric...READ MORE
55,5,"This mobile is phenomenal, I like the camera mostREAD MORE"
56,5,Love the performance 👍READ MORE
57,5,I have been using this phone since two months.And this phone is amazing.  Camera- 10/10Display- 10/10Performance- 10/10Battery- 9.5/10READ MORE
58,5,NiceREAD MORE
59,5,As Expected 🤣😂🫣READ MORE
60,5,Amazing one_____😍😘✌️READ MORE
61,4,"Coming from an iPhone 11, the upgrade is not completely unnecessary. I can see few daily improvements which impacts me personally. The battery back up is a good upgrade. The cameras are obviously better. The Dynamic Island is alright but not something I cannot live without. Face ID works smoother. I am not into games, so no comments on that. For a regular person, this phone is more than enough. And for people with other Apple devices, this is just an awesome part of the ecosystem.READ MORE"
62,5,Light weight phone. Camera and sound is fine and performance is highly appreciable.READ MORE
63,4,Mobile battery consumption very fastSo that I charge 3 times to charge in a dayREAD MORE
64,4,Everything lovely Just for the first time u wont feel much difference b/w pro and non pro model iphones.READ MORE
65,4,I upgraded from iPhone 13 to 15 and this phone is awesome worth the money go for itREAD MORE
66,5,Awesome phone ❤️READ MORE
67,5,Nice device!READ MORE
68,5,Awasome Phone Awasome Camera🐼........Rest is History DuduREAD MORE
69,4,"Battery is worst!I am moving from android, so i feel my 20k android phone is better than this iphone. Although i brought this for apple ecosystem!READ MORE"
70,5,Coming from iphone 12 mini.Camera is definitely a upgrade over the previous generation.Design outside remains the same. Pastel colours with matte finish.The Dynamic Island is what i liked for the notification part.Processor of previous generation pro models.Overall a value for money among the 15 models.Got it a great deal in flipkart clubbing exchange and bank offers.Delivery was on time.READ MORE
71,5,Superb... Shifted from Android to iPhone 15..classs👍READ MORE
72,5,Nice Product Thanks for Flipkart Camera 10/10Battery 8/10Display 10/10READ MORE
73,5,I order smartphone from Flipkart. This is my 4th phone i order. I have had the best experience every time.READ MORE
74,5,"Great phone except the battery, which isn't bad as well. Just not as good as other flagshipsREAD MORE"
75,5,Very nice product 👌👌👌👌👌READ MORE
76,5,Loved it 🥰READ MORE
77,5,Performance superREAD MORE
78,5,SuperREAD MORE
79,5,Only 90fps is need And best phone of the year goes to this phoneREAD MORE
80,5,Overall sameREAD MORE
81,5,Nice one 🫶READ MORE
82,5,Amazing product❤️❤️Best iPhone out of all the iPhone seriesREAD MORE
83,5,Awesome😍switch from android to iOSREAD MORE
84,5,"This is an amazing phone and back side of phone is frozen glass which makes it less prone to finger marks while holding. Till now enjoying it, will update with further details after a week.READ MORE"
85,5,Camera quality are too Great Display awesome Battery is average Design is very nice Overall very goodREAD MORE
86,5,Nice ColourREAD MORE
87,5,Awesome productREAD MORE
88,5,Fully satisfied 👍🏻READ MORE
89,5,"Upgraded from iPhone 11, The camera quality is awesomeThe display quality is great and the dynamic island working perfectlyHappy with Apple and FlipkartREAD MORE"
90,5,v v goodREAD MORE
91,5,awesome cameraREAD MORE
92,5,Nice device!READ MORE
93,4,Design n Build Quality is Best in Class.Performance is amazing.Camera is Good.READ MORE
94,4,Very nice product☺️☺️we loved the phone very muchREAD MORE
95,3,Not giving a fast refresh rate is really a bad idea.Shame on you apple...with this range of phone this kind of average feature should have been given.READ MORE
96,5,Overall sameREAD MORE
97,5,Awesome qualityREAD MORE
98,5,"The best part of camera is cinematic video which is fabulous. Rest of the things are good, but cinematic mode is on next level, higher rate is missing which may hurt phone noise cancellation is on. Also next level. Some small small features which make sweet point to use and make it different from android efforts of making iOS and developing some sweet sweet things are appreciable and if you have MacBook or iPad, ecosystem work, fantastically the best things for this iPhone is much much better...READ MORE"
99,5,Just go for it.Amazing one.Beautiful camera with super fast processorREAD MORE
100,5,Camera quality are too Great Display awesome Battery is average Design is very nice Overall very goodREAD MORE
101,5,#NAME?
102,5,Best photo for iPhone 15READ MORE
103,5,Switched from Redmi 12 5G to Iphone 15 . It feels like I have never used Phone. Totally Worth It and the Feeling of using Iphone is Super Awesome.READ MORE
104,5,Amazing one_____😍😘✌️READ MORE
105,5,Camera is just wow. All classes clicks are done at night....phone Performance is awesome.... I'm writing now again for review...it's really maintained its premium imageREAD MORE
106,5,This is my first iphone ever used loving it already this is worth it 🥰READ MORE
107,4,Overall performance is best.Good aesthetic and nice color. Only thing worries me that it gets really hot with increase of brightness and during 15 min video call..READ MORE
108,4,Everything lovely Just for the first time u wont feel much difference b/w pro and non pro model iphones.READ MORE
109,5,I just loved it 😍Thank you so much ❤️READ MORE
110,5,"Mind blowing purchase, I received the right item. Thank you Flipkart.If telling about iPhone its value for moneyGreat camera and video. 5/5Display 5/5Sound and heroics 5/5 Overall good.READ MORE"
111,5,What a phone super performance with light weight. Please find my details review as follows. 1. Camera - camera is super with very gud quality photo even at night as well. 2. Battery - battery backup is fine and will last for one day long. 3. Performance - iphone 15 performance is super. No lagging and no heating issue. Cons-1. Battery could be better at this price range. 2. Face recognition is not good as not always open with face IDREAD MORE
112,5,Overall Beast Performance 🔥10/10 Just Go For It 😎👍READ MORE
113,5,The best one from apple💙READ MORE
114,5,Very goodREAD MORE
115,5,First time experiencing I phone. It feels premium and quality is awesome love it ❤️❤️❤️READ MORE
116,5,"Overall, I'm very happy with the phone. It's a great all-around phone with a powerful processor, a long-lasting battery, and a great camera. I would definitely recommend it to anyone looking for a new phone.READ MORE"
117,5,Amazing. This is my second iphone after 11 pro.Used it for 3 days till now. No heating issue. While setting up the device/updating ios/transferring data - it didn't heat at all. Smooth experience. Best buy for 2024.READ MORE
118,5,AmazingREAD MORE
119,5,Look and design very niceREAD MORE
120,5,Amazing phone But Now days Chapri people Drop apple's brand value.READ MORE
121,5,Pros:1. Incredibly smart device this year2. iOS interface3. Data Privacy4. Premium build quality5. Dynamic Island6. Ecosystem benefits if you own other Apple devices7. Powerful processorCons:1. 60Hz refresh rate for a flagship (although not very noticeable)2. No improvements to Siri3. Expensive4. Low possibility of repairREAD MORE
122,5,"Bought it from flipkart, as I was getting the best price here!READ MORE"
123,5,Very nice product 👌👌👌👌👌READ MORE
124,5,"The best in class iphone. Many people may mock iPhone, but everyone have to accept that iPhone has the best in class features and technology. It is obviously not fair to compare iPhone and android because each have its own pros and cons. Seeing the features that iPhone provide at this price point is really of premium level and I am pretty sure you are gonna enjoy using this awesome device.Speaking about specs, iPhone 15 has the best camera till date, the best display, awesome battery managem...READ MORE"
125,5,super 👌👌👌👌👌READ MORE
126,5,As Expected 🤣😂🫣READ MORE
127,5,It is a really good phone for daily tasks. The cameras are great 48mp photos are very sharp and detailed. You can relay on this phone for 5 years. I have other apple products and the ecosystem is also great. Everything works seamlessly. For those who are switching from android:Battery life is good in this phone but compared to my previous phone which had 4500mAh battery I have to charge this phone 2 times in a day almost after limiting the battery to 80%. Overall it is a great phone the v...READ MORE
128,5,Nice 👌READ MORE
129,5,Heating issueREAD MORE
130,5,Excellent!!!READ MORE
131,5,Awesome.Camera too goodDisplay too goodBattery GoodFeels too goodREAD MORE
132,5,Very good deal and fastest delivery in next day.READ MORE
133,5,Super Good ProductREAD MORE
134,5,Loved it 🥰READ MORE
135,5,NiceREAD MORE
136,5,Amazing Camera and batteryREAD MORE
137,5,Nice phoneREAD MORE
138,5,My mom giftREAD MORE
139,5,Performance superREAD MORE
140,5,Nice Overall performance. Loved the inhand feel of the device 😍 Amazing camera qualityREAD MORE
141,5,Happy 😊READ MORE
142,5,SuperREAD MORE
143,5,Just wowBuy it nowREAD MORE
144,5,Best phone nice camera and performanceREAD MORE
145,4,I phone is phone nothing but it's a brand that makes the cost. Better should be more improved. And it gives heat.READ MORE
146,4,"A Mixed Bag of BrillianceThe iPhone 15 flaunts an impressive camera setup, capturing moments with exceptional clarity and detail. However, users may encounter heating issues post 80% charge, which could disrupt prolonged usage. Occasionally, screen touch glitches may hamper the otherwise seamless user experience. Despite these setbacks, the iPhone 15 excels in performance and features. The standout Dynamic Island feature enhances productivity and personalization. Overall, the iPhone 15 is a...READ MORE"
147,4,"Actually phone is very good this is my first iPhone i found heating at back panel at normal usage also, it should be fixed asap because giving 80k for premium feel and still not feels worthy after heating, it gains heat very fast and cools down too but due to heat battery drop is very fast .READ MORE"
148,5,Very good productREAD MORE
149,5,"A great phone with quality display 60Hz, average to good battery backup, speaker same as 14, camera is very good in this segment, performance toooo good for this compact sized phone almost never heated much except for charging and bgmi though normal for every phone. Dynamic island animations are great though not a fan of it still better than notch. And design is amazing very premium.READ MORE"
150,5,Everything is good. Battery backup is hardly 6hrs will come while continuously usage. Camera is fantastic. In this iphone 60 hz refreshing rate is equals to 120hz refresh rate in android. Very light weight.READ MORE
151,5,"Guys dont listen to negative reviews about 60hz display and batter heating issues. ios makes you forget that you are using a 60hz display cuz its much better than a 90hz or 120hz display in android. zero bugs, amazing user interface, best camera in class. after using oneplus, samsung, redmi, realme, infinix and oppo for the past 10 years, finally am realising why people hype iphones. truly amazing experience.READ MORE"
152,5,Awesome buyREAD MORE
153,5,Am a Android User First Time Switching To IOS Really Its Awesome (iphone 15) Camera 5/5Battery 4/5Design 5/5Display 5/5Speaker 5/5READ MORE
154,5,Android is better than iosREAD MORE
155,5,Excellent purchase battery life is good for medium usage but can get you through the whole day on single charge. Am just loving this phoneREAD MORE
156,5,It was on republic sale. I got value for money.Piece is genuine.Camera is best with 48 MP primary lens.Performance is very good.There are some restrictions otherwise it is very good.READ MORE
157,5,This is my first iPhone . Bought it from flipkart and flipkart never disappoints me. Bought it during Republic Day sale and got a really good deal. Thank You FlipkartREAD MORE
158,5,The product is very nice just switched from iPhone XR. Was thinking to buy Samsung S24 but happy with this purchase.The camera is awesomeA single charge will last for a dayREAD MORE
159,5,best camera phone 🥰READ MORE
160,5,NiceREAD MORE
161,5,Very nice phone im happy very good 👍READ MORE
162,5,I can say the 60hz doesn't feel 60hz it is very smooth and may be because of appleI was too worried about the 60 hz because I was switching from 120hz Android (realme GT master edition) to this one but after using iphone 15 I feel lags in my android 120hzBut I feel camera quality is avg but videography is next level Love the speakerQuality of display is just wowCharging is also quite good and battery backup is also awesomeI am getting 5-6 hr gameplay(free fire+bgmi) from 100% to 25% qui...READ MORE
163,5,Very Best baseline iPhone ever. even if you have a iphone 14 it is still a upgrade. the new frosted glass and rounded edges make it premium feel. camera is just awesome. better than 14 pro camera. battery is just like iphone 14. type c is also a welcome with braided data cabel. just blue colour looks a lot like white.READ MORE
164,5,Very powerful phone. Camera is extremely good if one can adjust the settings. Battery backup is awesome. Design is handy. Features are cool. Price is reasonable.READ MORE
165,5,"Great purchase. Was heating up a little for first few use and while charging, but got normal afterwards. Like the design. Camera is great as expected. Happy with my purchase 😃READ MORE"
166,5,"Nothing to say..✌️(Camera, performance, display, design, battey service )Everything is Perfect 😍READ MORE"
167,5,FantasticREAD MORE
168,4,"Phone is good built lightweight,handy, camera good quality, display great phone is nice if love it's OS and can spend that muchREAD MORE"
169,5,Just Awesome ❤️- Was bit skeptical about 60Hz but it feels extremely smooth.- No heating issues at all. - Camera quality is also good.- Overall nice upgrade for me after using poco f1 for half a decade.I would definitely recommend it. Just go for it you wont regret.READ MORE
170,5,"Very good experience, highly recommended for upgradeREAD MORE"
171,5,Awesome experience. thanks to flipkartREAD MORE
172,3,"The only thing I like about this phone is the camera quality and that is the reason I bought this phone.I already have an Android phone which is less than 50% of its price and still is better in every aspect except the camera.Well! Definitely, iphone 15 has a flagship level chipset but I am not a gamer and a normal user and I find mid rangers and flagship all perform at similar level in daily tasks.While iphone 15 only has 60hz screen which feels choppy, all other phones have 120-144hz scr...READ MORE"
173,4,Not justifying the price .. bit disappointed about the  display (refresh rate should be high).. no differences between 12 and 15 except brightness .. those who willing to upgrade plz be ok with your 13 .. there is very low difference in day to day life use..but the Dynamic Island is awesome it is way better than expected..READ MORE
174,5,Smooth 🔥READ MORE
175,5,Having a great timeREAD MORE
176,5,"High quality camera The iPhone 15 has a new 48-megapixel main camera. The new camera sensor is larger than the one in the iPhone 14, and it has better low-light performance. The iPhone 15 also has a new 12-megapixel ultrawide camera and a new 12-megapixel telephoto camera.READ MORE"
177,4,"AFTER ONE WEEK OVERALL PERFOMANCE IS GOOD BUT  FEW APPLE MUST IMPROVE 1. Design very Round on Corner gives a feel of baby Toy, 2. Some thing must improve in iOS 17 its very Classic in this mordern era like Auto Rotate not possible on photos you will have to go home select rotate lock etc.READ MORE"
178,5,Switch from OnePlus to iPhone I am stunned with camera performance. Everything is perfect on  iPhone 15.READ MORE
179,4,NiceREAD MORE
180,5,Loving it!!! Delivery was quick .READ MORE
181,3,Device is getting too hot. It's looking like you have the burning stick.READ MORE
182,5,Awasome Phone Awasome Camera🐼........Rest is History DuduREAD MORE
183,5,A great upgrade from iPhone 11..The battery backup is great it is even better than iPhone 15pro which is obvious due to the proMotion 120hz display..Yes you'll feel the absence of 120hz but it doesn't matters that much until you play games yes you won't get 90fps on bgmi but yes still you can play games without any hesitation everyone mostly knows that and yes 60fps is enough coz our eyes can fully utilise the 60fps Higher fps are just eye pleasing..So It is not a big deal..Camera performance...READ MORE
184,5,Good stuff.. bss thora battery cazual hai 💀READ MORE
185,5,Good mobile but charging is getting down fastttREAD MORE
186,5,All are good 😊READ MORE
187,5,nice oneREAD MORE
188,5,Looking Like Monster 🤍💙READ MORE
189,5,Awesome I switched from Android it's great feeling just go for it 🥰🥰🥰READ MORE
190,5,Very good productREAD MORE
191,5,Superb phone ❤️ I am using last 5 year of iPhoneREAD MORE
192,5,Good cameraREAD MORE
193,5,The colour blue is so good and the battery life is so long as compared to 14 the camera is much better than 14series best phone I experienced very goodREAD MORE
194,5,GoodREAD MORE
195,5,"Switching Android to ios awesome experience,I just love it . And thanks Flipkart for open box delivery option.READ MORE"
196,5,Just wowwww ❤️READ MORE
197,5,Best dealREAD MORE
198,5,"I have recently switched from Android to ios, it does feel very strange at the beginning but now I am getting habitual to the iosIt is really very nice and feels premium. The camera is also very nice. I am fully satisfied with this purchase.READ MORE"
199,5,Verrrry good productREAD MORE
200,5,This is adorable   Most important  C type charger  cable I am happy with  iPhones 15 series  ⭐️⭐️⭐️⭐️⭐️READ MORE
201,5,Best phoneREAD MORE
202,5,"I am very happy to buy it because its camera is very good and its performance is also very good, its features are also very good and will never make you bored. 😍READ MORE"
203,5,Excellent phoneREAD MORE
204,5,Genuine product. Thank you flipkartREAD MORE
205,5,OkREAD MORE
206,5,The iPhone 15 features a 48-megapixel main camera sensorIt is powered by the A16 Bionic SoCThe iPhone 15 now comes with Dynamic IREAD MORE
207,5,Best IphoneREAD MORE
208,5,I lovedREAD MORE
209,5,Nice product but battery issues please solowREAD MORE
210,5,Best dealREAD MORE
211,5,"Good display, improved display brightness, awesome cameraREAD MORE"
212,5,Great product:)READ MORE
213,5,Nice ProductREAD MORE
214,5,U all know about iPhone 15 so am very impressed with blue colour damn beautiful ❤️READ MORE
215,5,GoodREAD MORE
216,5,Awesome experience in my opinion. I am first time iPhone user. And can say:-Camera: 10/10Performance: 10/10Display: 10/10Battery: 8/10READ MORE
217,5,"Awesome phone, thanks to Flipkart for quick delivery. This is my 1st iOS experience so very excited .READ MORE"
218,5,Great phone!Thank you flipkart.READ MORE
219,5,for me its 10 out of 10✨READ MORE
220,5,Beautiful phoneREAD MORE
221,5,Very FabulousREAD MORE
222,5,Very good productREAD MORE
223,5,Super experience😘😘READ MORE
224,5,Awesome...READ MORE
225,5,Amazing camera but battery  perform not goodREAD MORE
226,5,Upgraded from iPhone 12 to 15 every thing is nice but little bit heating issues is coming while charging the phone I requesting apple to kindly resolve this issue in next update.READ MORE
227,5,"Body gets heated up. Apart from that, all good! Type C charger is a good relief! And amazing delivery by FlipKart too!READ MORE"
228,5,NICEREAD MORE
229,5,Nice product but battery 🔋 quality BadREAD MORE
230,5,Awesome Gaming and Photography ExperienceREAD MORE
231,5,It's an awesome experience but if ur a vlogger u need and android must but other wise it's a great  iphone till date👍READ MORE
232,5,Nice prodREAD MORE
233,5,Most useful deviceREAD MORE
234,5,Nice productREAD MORE
235,5,Excellent phone battery bakeup is also goodREAD MORE
236,5,Wonderful 👌🏻READ MORE
237,5,Very good handset once you purchase not change the Apple brand. 💯 original apple brand and authorised for Flipkart seller.READ MORE
238,5,All good in this n camera superbREAD MORE
239,5,Amazing product .camera quality is decent           Sound quality is amazing Display quality is superb.battery quality good overall very good.READ MORE
240,5,Night mode is so smoothREAD MORE
241,5,Awesome Phone with awesome camera. Updated from iphone 13 to 15 I love this.READ MORE
242,5,"As always fast delivery by flipkart,Stunning design, powerful performance, and exceptional camera quality define the iPhone 15. With its sleek build, vibrant display, and lightning-fast chip, it's a flagship smartphone that delivers on all fronts. Capture breathtaking photos, enjoy seamless multitasking, and experience all-day battery life. The iPhone 15 is a premium choice for those who demand the best.Go for it without any thinking if you are trying for premium segment.READ MORE"
243,5,Over all good after 20 days use I like itREAD MORE
244,5,Awesome Product Just Love ItREAD MORE
245,5,Very goodREAD MORE
246,5,Bery bery goodREAD MORE
247,5,NiceREAD MORE
248,5,BrilliantREAD MORE
249,5,AwsmREAD MORE
250,5,Nice phoneREAD MORE
251,5,OsmREAD MORE
252,5,Loved itREAD MORE
253,5,Amazing camera pic 😍READ MORE
254,5,Amazing camera qualityREAD MORE
255,5,NiceREAD MORE
256,5,BestREAD MORE
257,5,Mobile I got from Flipkart is really original and genuineREAD MORE
258,5,I have used this 1st time and never had an iPhone before this one and it's amazing just loved it...READ MORE
259,5,Nice camera and battery also.READ MORE
260,5,Camera Quality 👌💯👌READ MORE
261,5,"1. It is the best phone and worth every rupee in terms of its user interface, unique eco system, siri and some other options  which can be copied by other manufacturers but cant replicate (if incase a person thinks iphones are bit overpriced - they are pricing for their unique features)  2. In terms of camera, display, performance and in every other aspect it gives best output.3. In terms of this iPhone 15 series, the upgrade in this series is of leaps and bounds compared to other upgrades ...READ MORE"
262,5,"This is my first mobile from apple. Powerfull performance, very good camera..next level display.. 5 out of 5READ MORE"
263,5,Best CameraREAD MORE
264,5,Phone is super duper very nice hasome wonderfull miracleREAD MORE
265,5,Best phoneREAD MORE
266,5,Superb Performance ✨READ MORE
267,5,"The innovative new design features back glass that has color infused throughout the material. A custom dual ion-exchange process for the glass, and an aerospace-grade aluminum enclosure, help make iPhone 15 incredibly durable. Dependably durable.READ MORE"
268,5,Money worth itREAD MORE
269,5,Good Performance.READ MORE
270,5,The Experience with new features is Amazing . Definately iphone 15 is better than 13 or 14 .READ MORE
271,5,Good photo sutuREAD MORE
272,5,Long time android user. Thought of giving iOS a try. And now I understand why apple is apple. The highlight is the interaction between the hardware and the software. Android feels clunky in front of iOS. (Have used all Android skins and currently on s24+)READ MORE
273,5,Worth upgradingREAD MORE
274,5,It can be more better if display refresh rate has 120hzREAD MORE
275,5,Honest review after using it for a month! Best phone of apple so far camera battery performance are on top notch!READ MORE
276,5,Pwoli itemREAD MORE
277,5,Great product again from apple.Worthy upgrade from iPhone 14. Dynamic Island is great. Battery easily last for a day.. Happy with the product.READ MORE
278,5,Good camera and battery but ios is still far behind than Android in terms of ease.READ MORE
279,4,"All over i find it good except the heating issues, of course its type C but when you charge it with other cable it will heat like hell, and if you take it out in noon time and take photos ,it will heat else there were no performance or body shading issues ,the in hand feeling is awesomeREAD MORE"
280,5,"Nice product,,and delivery is awesomeREAD MORE"
281,5,Best product...READ MORE
282,5,op most value for money productREAD MORE
283,5,GoodREAD MORE
284,1,Heating issueREAD MORE
285,5,Very good camera quality and performanceREAD MORE
286,5,very nice 15READ MORE
287,5,"iPhone is always the best in every quality category. Earlier, there were battery backup issues, but I am getting more than a day of battery backup. The island display in the basic model is really exciting, which was earlier in the Pro model only. I recommend you guys to go for it without any thought, if you don't require a high refresh rate display.READ MORE"
288,5,Awesome quality but phone is little heatingREAD MORE
289,5,Excellent phoneREAD MORE
290,5,Product was genuine and great.READ MORE
291,5,Iam happyREAD MORE
292,5,Nice phone 📱READ MORE
293,5,The best mobile in IndiaREAD MORE
294,5,Premium look and quality with excellent performanceREAD MORE
295,5,Battery life is unbelievableREAD MORE
296,5,Nice phone😍READ MORE
297,5,Nice productsREAD MORE
298,5,Gud phoneREAD MORE
299,5,The camera is so beautiful and it takes good pics in portrait mode here are some sample picsREAD MORE
300,5,"Awesome phone, *Camera is excellent*Battery backup is superb just like an Android phone*Performance is brilliantI phone 15 is best phoneREAD MORE"
301,5,Camera is awesome display and sound quality is amazingREAD MORE
302,5,Nice phone speakers display and camera quality amazingREAD MORE
303,5,"I upgraded because of the band that is 5G and a better camera , look wise it is good and weight is comfortable to carry. Dynamic Island if catchy to eye. It keeps the Apple standard, gels well with Apple ecosystem like AirPods , iwatch, mac . Though a little pricey at this point but one may wait for or some sort of discount offers.READ MORE"
304,5,Most value for money iPhone ever.READ MORE
305,5,Amazing phone just no words to say...just one complaint that some features are easy on Android but in ios its takes more time to do it...READ MORE
306,5,"Great phone , worth the moneyREAD MORE"
307,5,"I was sceptical at first about moving form an android to ios. I was confused between s23 and ip15 but i bought this phone and i must say i am very happy about it. I have not faced any issues in this device since I have been using it, no heating while gaming, charges quickly, and believe me if you have been using 60hz panel before this you will not have any problems but coming from a 120hz panel you might need some time adjusting to it. All in all this has got to be the best phone under 70k ca...READ MORE"
308,5,Loved itREAD MORE
309,5,Awesome picturesREAD MORE
310,3,Nothing to say 💸READ MORE
311,5,GoodREAD MORE
312,5,GoodREAD MORE
313,5,I just loved it as I bought the phoneREAD MORE
314,5,AmazingREAD MORE
315,5,The best product value for moneyREAD MORE
316,5,NiceREAD MORE
317,4,Very niceREAD MORE
318,3,Sim not workedREAD MORE
319,4,"This device offers excellent features, however, it is not recommended for purchase due to the reduction in camera quality and battery life. Despite these drawbacks, the build quality is robust and superior to the latest iPhone model.READ MORE"
320,5,Everything is good Go for it Strongly recommended 🤗✌️🎈READ MORE
321,4,Very GoodREAD MORE
322,1,Bad productREAD MORE
323,5,I phone is batter than other phonesREAD MORE
324,5,BestttREAD MORE
325,3,"Great experience, Good product.READ MORE"
326,5,Device performance and camera clarity especially cinematic mode assume performance sound clarity Dolby Atmospheres in apple music songs 🫶 worthy for money.READ MORE
327,5,Best !READ MORE
328,4,Value for money good phoneREAD MORE
329,5,All Ok. Battery is also OK. Need not to worryREAD MORE
330,5,"It bought it 2 yrs back , at flipkart big billion days for 54kIts camera is not worth , there are better camera mobiles in android at even budget range than this , but still wil prefer this for  3 main reasons1) ios - its simple , neat and clean (u cant experience it even in samsung s series devices) and am getting timely software update even after 3yrs of its release and not even a single lag in this past 2 years2) resale value - it showed 35k just till before this 2024 big billion days ...READ MORE"
331,5,This product very nice andREAD MORE
332,5,Reviewing after 1.5 years of purchase. Still works like a charmREAD MORE
333,5,Just amezing 🙂love itREAD MORE
334,2,Waste moneyREAD MORE
335,5,Good experience Excellent serviceREAD MORE
336,5,Its phone is amazing performance And photo click is perfect 👌👆READ MORE
337,4,battery life is not so good. it drained way too fast. rest of it is great.READ MORE
338,1,Worst after 2 yearsREAD MORE
339,5,Love itREAD MORE
340,1,Display got burst out green line after updatingREAD MORE
341,5,OkREAD MORE
342,4,Good qualityREAD MORE
343,5,I am using this phone for last 2 years. This is best phone I have seen in this range in terms of camera. It is still best and in competition with iphone 14 and 15.READ MORE
344,5,"Good product and good delivery, thanks FlipkartREAD MORE"
345,1,very bad experienceREAD MORE
